Carimbo de data/hora,Qual a sua faixa etária?,"Ao planejar uma viagem, qual é o seu principal canal para reservar hospedagem?","Quando você encontra um hotel de seu interesse em uma plataforma (ex: Booking), com que frequência você procura o site ou o contato direto do hotel para comparar o preço?","Se você respondeu ""Raramente"" ou ""Nunca"" na questão anterior, qual o principal motivo?","Avisos como ""Resta apenas 1 quarto por este preço"" ou ""5 pessoas estão olhando esta acomodação agora"" influenciam você a fechar a reserva mais rápido?"
2026/05/04 8:29:40 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/05 8:17:52 AM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 8:18:23 AM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Nunca,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/05 8:19:22 AM GMT-3,25-34,Airbnb ou similares,Nunca,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Sim, sinto que posso perder a oportunidade."
2026/05/05 8:25:43 AM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 8:35:49 AM GMT-3,25-34,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 8:39:02 AM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Nunca,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/05 8:39:52 AM GMT-3,18-24,Airbnb ou similares,Nunca,Acredito que o preço na plataforma já é o mais barato.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 8:43:05 AM GMT-3,18-24,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Acredito que o preço na plataforma já é o mais barato.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 8:46:53 AM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 9:14:47 AM GMT-3,18-24,Airbnb ou similares,Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/05 9:19:04 AM GMT-3,18-24,Airbnb ou similares,Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 9:32:55 AM GMT-3,18-24,Airbnb ou similares,Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/05 9:36:57 AM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Não, ignoro esses avisos."
2026/05/05 10:07:22 AM GMT-3,25-34,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 10:52:44 AM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 11:57:17 AM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/05 12:04:37 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/05 12:35:05 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 12:35:34 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Sempre,,"Não, ignoro esses avisos."
2026/05/05 12:38:12 PM GMT-3,35-44,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 12:40:45 PM GMT-3,35-44,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 12:48:06 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 12:48:49 PM GMT-3,25-34,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 12:53:56 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/05 12:57:12 PM GMT-3,35-44,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 1:01:24 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Nunca,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/05 1:45:38 PM GMT-3,25-34,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Não, ignoro esses avisos."
2026/05/05 1:49:09 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 1:50:31 PM GMT-3,35-44,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/05 2:06:05 PM GMT-3,25-34,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 2:11:50 PM GMT-3,35-44,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 2:17:52 PM GMT-3,35-44,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 3:20:28 PM GMT-3,25-34,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 3:39:33 PM GMT-3,18-24,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/05 4:02:08 PM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 4:15:39 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 4:44:00 PM GMT-3,35-44,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 4:57:07 PM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 5:41:27 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 5:45:55 PM GMT-3,45+,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 6:39:07 PM GMT-3,25-34,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 6:39:38 PM GMT-3,25-34,Airbnb ou similares,Nunca,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/05 6:40:12 PM GMT-3,18-24,Airbnb ou similares,Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Sim, sinto que posso perder a oportunidade."
2026/05/05 6:42:21 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
